review,rating
Berguna banget ini buat simpen foto video yg udah menuhin storage hp. Dikasih bonus colokan ke tipe C juga. Thankyouuu seller semoga sukses selalu,5
"Barang rusak, tidak mau menyala jgn beli disini barangnya rusak",1
Mantap bagus sesuai ekspetasi semua normal 👍👍 langsung dipakai,5
"cakep kapasitas besar harga terjangkau tapi aplikasinya yg kurang oke (mngkn belum terbiasa),makasi",5
"Packing rapih, produk sesuai, belum dicoba, semoga sesuai harapan, thanks.",5
otg type c nya rusak gak bisa dipake dalamnya patah,2
"👍👍barang bekerja dengan baik , easy installation",5
"Pesanan sudah sampai, kemasan bagus aman, rekomendasi beli disini",5
ga lengkap smua nya.... bnyak yg lecet nya,1
"barang yang saya terima tidak sesuai dengan fotonya. setelah saya coba barang jg tidak bekerja dengan baik, file yang saya ingin simpan di flashdisk jika saya lepas flashdisk saya lalu saya tempelkan lagi flashdisk saya file nya kembali hilang / tidak tersimpan dan flashdisk tetap kosong, itu kenpa ya 🙏🏻",2
pèngiriman lama tpi barang baguss ..,5
sesuai pesanan ,5
barang sampai dengan aman mantap,5
"aku kira ada wifi yang bisa buat disambung ke hp ternyata gak ada nyesel sih, tapi mau balik in gk tau caranya. 😥",5
GK jelas ni lazada.. yg saya pesan camera.. bukan kunci.. pastikan dong apa yg di pesan konsumen.. Jung asal packing..... kecewa....,1
"Nih buat yg mau preview gua kasih...
kualitas gambar or video menyesuaikan harga. Utk kejelasan 75% tp utk stabil saat goyangan gua rating 35/100% 
Yah ada harga ada barang lah...
Tp buat gua ini udh worthed utk pemula 👍",5
"maaf baru posting, Alhamdulillah barang udh sampai,barang tidak mengecewakan berfunsi semuanya,tapi saya buat video ya masih pake VGA,tapi gpp sesuai harga ",5
"Sudah saya coba gan mantap puas lah belanja di sini, bagi yg mau beli jangan kecewa dlu karna hasil vidio nya jelek, coba kalian pindahin ke hp dlu vidio nya baru liat hasil nya jernih, mungkin resolusi layar yg di kamera nya aja yg kurang bgus, tapi pas liat di hp jernih cukup lah buat harga segitu nex time saya order lgi di sini",5
barang sampai dengan selamat.. sesuai pesanan..kurir nya sopan..makasih Lazada & Seller..  sukses selalu 🤗,5
Sangat kecewa masa stak di logo aja,5
"parah banget, minta respon seller sangat buruk, dichat cuma di read doank gk ada balasan sampe berhari2, kecewa banget beli disini baru kali ini belanja di lazada kek gini, mana layarnya putih semua kayak gini bikin gk bisa di pake, kecewa banget, tolong yahh ka kalo jualan tuhh yg bener niat gitu lohh masa servicenya gk ada sama sekali, kesel gk sih kalo kakak ada di posisi aku yg butuh respon chatnya malah di read doank, emosi banget ka, mana aku juga ngechat sesuatu yg penting kok jadi seller gk bertanggung jawab banget?? ",1
barang sudah sampai..seller nya gk amanah gk ada wifi di blg ada..,1
kecewa . barang rusak . nyapenya  niat jualan kah   dasar  tipu tipu orang ,1
"barangnya sdah sampai, mantap sukses selalu",5
Barang sudah sy terima dalam keadaan bagus  👍👍👍,5
"bagi yang mau order bisa liat vidio gua ya bro biar pada tau jelasnya . . . pokoknya harga dan kualitas ga perlu di ragukan lagi . good job
#gua mah gitu orangnya ",5
"Kualitas gambarnya jelek banget. Emang sih murah, cuma baca dari comment pelanggan reviewnya bagus. Buang2 uang aja ih. Hasil foto n video gelap dan kabur. Pokoknya gak sesuai dengan apa yg dibilang deh. Baterenya baru charge full, dibuka langsung ilang 1 garis. Displaynya ampun, gelap dan hampir ga ada warna.",1
"bagaimana ini, barang ya rusak nda bisah di pakai aq mau kembalikan barang ya dn di gantikan yg bisah di pakai bukan yg rusak. jangan barang yg udah rusak kalian jual sama saya nnti aq tuntut kalian aq sangat kecewa skali dengan lazada😠😠😠",5
pengiriman cepat... mantap... barang selamat... belum coba msih dicas... ,5
mantullll,5
barang lumayan bagus cocok lh untuk harga segini 😁,5
"Mantap, Produk nyala dengan baik, cas pun cepat full. minus hanya kualitas gambar yang setara dengan 1megapixel kamera.",5
"PARAH.... barang yg dijual bekas, box hanya aja hancur pas dibukak, ada yg patah, penjual g jujur,, smoga jualanya berkah ya. (NYESAL BELI DISINI)",1
"udah lama saya belanja di lazada, baru kali ini aku kena tipu, masa kamera nya gak bisa nyala, udah lama di cas gak nyala juga.
gimana nih , kamera nya kayak nya sudah di bongkar , bukti nya bawut nya hilang...gimana nih pengembalian nya....",1
"di layar kamera kea sudah dipakai... lusuh garis2,.. pdhl dpakekn anti airnya.... seharusnya kn gk ada
semoga nnti dbelikn memory card bisa dpake",5
"mantab produk nya gan, sesuai harga. no lecet no cacat",5
barangnya sampai mksih lazada,5
"keren paten...alhamdulilah amanah.cuma kaga ngerti pake nya,buku panduan nya bahasa inggris...hahhahaa mklum aku mah urang sunda sanes urang inggris jd kaga ngarti",5
"Okee Paket Telah Diterima Camera Kek Taii Udah Fi Bilangin Batalin Juga Ngak Mau Yg Penting Seller Nya Kek Kontoll
",1
Salah kirim warna gak masalah. Tapi kirim tanpa batre.... Gimana mo dicoba? Layar kamera juga baret-baret seperti barang rijek. Chat gak dibaca². ,1
"mantul  
sukses slalu gan ",5
"ok barang cakep.sayang nya monting nya ga lengkap.tapi gpp barang cakep ga ada yang rusak.terimaksih 
",5
"produk sudah saya tetima,,paketan d kemas ok.produk barang pun mantap...rekomendasi untuk rekan rekan..beli produk d toko ini gk bskalan rugi😍😍😍😍",5
"ko ga bisa di simpan fotonya ya 
wifi ya ga ada
bisa di kemablikan ga",1
"sangat kecewaa..masa baru beli layar udah retak nerima brang ya..ga sesuai.iklan..
pelayanan itu terpenting gan..jgn bikin kecewaa..bukan krn murah ya..tpi qwantitas pelayannan no 1..",2
"Puas banget, pesanan sampai selamat dg cepat dan kamera bagus banget kualitasnya recomend dah ...👍👍👍",5
"barang sampah, Katanya 4K masih lbih bgus 2 megafixel

udah layar nya lecet""",1
